Date,Added,Added_1,Removed,Removed_2,Reason
3/24/2025,DASH,DoorDash,BWA,BorgWarner,Market capitalization change.[4]
3/24/2025,TKO,TKO Group Holdings,TFX,Teleflex,Market capitalization change.[4]
3/24/2025,WSM,"Williams-Sonoma, Inc.",CE,Celanese,Market capitalization change.[4]
3/24/2025,EXE,Expand Energy,FMC,FMC Corporation,Market capitalization change.[4]
12/23/2024,APO,Apollo Global Management,QRVO,Qorvo,Market capitalization change.[5]
12/23/2024,WDAY,"Workday, Inc.",AMTM,Amentum,Market capitalization change.[5]
12/23/2024,LII,Lennox International,CTLT,Catalent,Novo Holdings A/S acquired Catalent.[6]
11/26/2024,TPL,Texas Pacific Land Corporation,MRO,Marathon Oil,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[7]
9/30/2024,AMTM,Amentum,BBWI,"Bath & Body Works, Inc.",Market capitalization change.[8]
9/23/2024,PLTR,Palantir Technologies,AAL,American Airlines Group,Market capitalization change.[9]
9/23/2024,DELL,Dell Technologies,ETSY,Etsy,Market capitalization change.[9]
9/23/2024,ERIE,Erie Indemnity,BIO,Bio-Rad Laboratories,Market capitalization change.[9]
6/24/2024,KKR,KKR,RHI,Robert Half,Market capitalization change.[10]
6/24/2024,CRWD,CrowdStrike,CMA,Comerica,Market capitalization change.[10]
6/24/2024,GDDY,GoDaddy,ILMN,"Illumina, Inc.",Market capitalization change.[10]
5/8/2024,VST,Vistra,PXD,Pioneer Natural Resources,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[11]
4/3/2024,GEV,GE Vernova,XRAY,Dentsply Sirona,Market capitalization change.[12]
4/3/2024,SOLV,Solventum,VFC,VF Corporation,Market capitalization change.[12]
3/18/2024,SMCI,Supermicro,WHR,Whirlpool Corporation,Market capitalization change.[13]
3/18/2024,DECK,Deckers Brands,ZION,Zions Bancorporation,Market capitalization change.[13]
12/18/2023,UBER,Uber,SEE,Sealed Air,Market capitalization change.[14]
12/18/2023,JBL,Jabil,ALK,Alaska Air Group,Market capitalization change.[14]
12/18/2023,BLDR,Builders FirstSource,SEDG,SolarEdge,Market capitalization change.[14]
10/18/2023,HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.[15]
10/18/2023,LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[15]
10/3/2023,VLTO,Veralto,DXC,DXC Technology,Market capitalization change.[16]
9/18/2023,BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.[17]
9/18/2023,ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.[17]
8/25/2023,KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[18]
6/20/2023,PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.[19]
5/4/2023,AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[20]
3/20/2023,FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.[21]
3/15/2023,BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[22]
3/15/2023,PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[23]"
1/5/2023,GEHC,GE HealthCare,VNO,Vornado Realty Trust,Market capitalization change.[24]
12/22/2022,STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[26]
12/19/2022,FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.[27]
12/19/2022,MBC,MasterBrand,MBC,MasterBrand,Market capitalization change.[27]
11/1/2022,ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.[28]
10/12/2022,TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[29]
10/3/2022,PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[30]
10/3/2022,EQT,EQT Corporation,DRE,Duke Realty,S&P 500 constituent Prologis Inc. acquired Duke Realty.[30]
9/19/2022,CSGP,CoStar Group,PVH,PVH,Market capitalization change.[31]
9/19/2022,INVH,Invitation Homes,PENN,Penn Entertainment,Market capitalization change.[31]
6/21/2022,KDP,Keurig Dr Pepper,UA,Under Armour (Class C),Market capitalization change.[32]
6/21/2022,ON,ON Semiconductor,UAA,Under Armour (Class A),Market capitalization change.[32]
6/21/2022,,,IPGP,IPG Photonics,Market capitalization change.[32]
6/8/2022,VICI,Vici Properties,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.[32]
4/11/2022,WBD,Warner Bros. Discovery,DISCA,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[33]
4/11/2022,,,DISCK,"Discovery, Inc.",WarnerMedia and Discovery merge to create Warner Bros. Discovery.[33]
4/4/2022,CPT,Camden Property Trust,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[34]
3/2/2022,MOH,Molina Healthcare,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[35]
2/15/2022,NDSN,Nordson Corporation,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[36]
2/3/2022,CEG,Constellation Energy,GPS,Gap,Market capitalization change.[37]
12/20/2021,SBNY,Signature Bank,LEG,Leggett & Platt,Market capitalization change.[38]
12/20/2021,SEDG,SolarEdge,HBI,Hanesbrands,Market capitalization change.[38]
12/20/2021,FDS,FactSet,WU,Western Union,Market capitalization change.[38]
12/14/2021,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.[39]
9/20/2021,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.[40]
9/20/2021,CDAY,Ceridian,UNM,Unum,Market capitalization change.[40]
9/20/2021,BRO,Brown & Brown,NOV,Nov,Market capitalization change.[40]
8/30/2021,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[41]
7/21/2021,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.[42]
